generation,event,value
25,transmission,migration_fwd
50,transmission,migration_rev
50,sample,10
75,transmission,migration_fwd
100,transmission,migration_rev
100,sample,10
125,transmission,migration_fwd
150,transmission,migration_rev
150,sample,10
175,transmission,migration_fwd
200,transmission,migration_rev
200,sample,10
225,transmission,migration_fwd
250,transmission,migration_rev
275,transmission,migration_fwd
300,transmission,migration_rev
325,transmission,migration_fwd
350,transmission,migration_rev
375,transmission,migration_fwd
400,transmission,migration_rev
425,transmission,migration_fwd
450,transmission,migration_rev
475,transmission,migration_fwd
500,transmission,migration_rev
